遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H1114","遗迹编号",15,0.7,"平面、齐面图 - BAL 仰韶文化灰坑 H1114 平面、剖面图 图二〇仰韶文化其坊 H1"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H133","遗迹编号",15,0.7,"14 平面、剖面图 图二〇仰韶文化其坊 H133 平面、剖面图 UBS RSL H818"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H818","遗迹编号",15,0.7,"H133 平面、剖面图 UBS RSL H818 平面、前面图 UR SALSA, HI"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H164","遗迹编号",15,0.7," HL121 SE, UERSCHIR H164 i, ST RSAC W313 平面、"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H1168","遗迹编号",15,0.7," W313 平面、剖面图 仲亡文化灰坑 H1168 Fi, ADRAC HAT 平面、章面"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H1160","遗迹编号",15,0.7,"平面、剖面图 AMDB SC ARSE H1160 平面、剖面图  "
"南邠州碾子坡","REL_SITE_ERA","年代为","南邠州碾子坡","遗址名称","仰韶文化","年代",15,0.5,"L H306 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","T2001","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","T2001","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","T321","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","T321","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","T322","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","T322","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H306","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H306","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H4","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H4","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H1114","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H1114","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H133","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H133","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H818","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H818","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H164","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H164","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H1168","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H1168","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H1160","遗迹编号","房址","遗迹类型",15,0.65,"06 平面、削面图 图一七 A 仰韶文化房址 H306 一号灶坑剂面图 图一七 B "
"南邠州碾子坡","REL_UNIT_TYPE","类型为","H1160","遗迹编号","灰坑","遗迹类型",15,0.65,"306 二号灶坑市面图 图一人 仰灾文化灰坑 H4 平面、齐面图 - BAL 仰韶文"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","Y301","遗迹编号",16,0.7,"二”仰韶文化陶窗 Y301 平面前面图 三”仰韶文化陶窗 Y9 复"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","Y9","遗迹编号",16,0.7,"Y301 平面前面图 三”仰韶文化陶窗 Y9 复原图  三”仰韶文化僵档幕甘 M20"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","M2002","遗迹编号",16,0.7," Y9 复原图  三”仰韶文化僵档幕甘 M2002 Be AEH  A 先局文化地面建筑房"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H329","遗迹编号",16,0.7,"建筑房址 Fl 复原图  仰阁文化灰坑 H329 平面、剖面图 件部文化厌坑 H194 "
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","H194","遗迹编号",16,0.7," H329 平面、剖面图 件部文化厌坑 H194 平面、剂面图 TRAE He kA  "
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","Y4","遗迹编号",16,0.7,"RC VLOG, BAD 仰韶文化陶窖 Y4 平面、剖面图 DARA BORE VS"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","Y1","遗迹编号",16,0.7,"RE VS 平面、齐面图 仰韶文化陶窖 Y1 平面前面图 仰稻文化陶窑 Y3 eG,"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","Y3","遗迹编号",16,0.7,"化陶窖 Y1 平面前面图 仰稻文化陶窑 Y3 eG, 仰韶文化陶窖 Y7 平面、拥面"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","Y7","遗迹编号",16,0.7,"稻文化陶窑 Y3 eG, 仰韶文化陶窖 Y7 平面、拥面图 仰韶文化陶窗 Y9 平面"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","M302","遗迹编号",16,0.7,"文化居址出土的器物 … AME XAT M302 平面图及随芋吻这 « URAC RAT"
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","M183","遗迹编号",16,0.7,"及随芋吻这 « URAC RATES, M183 及葬具 0 XA IER M1133 "
"南邠州碾子坡","REL_SITE_CONTAINS","包含","南邠州碾子坡","遗址名称","M1133","遗迹编号",16,0.7,", M183 及葬具 0 XA IER M1133 BAER UR ATE M1217 a"
"双砣子与岗上","REL_SITE_ERA","年代为","双砣子与岗上","遗址名称","新石器时代","年代",4,0.5,"军帆、岗上、楼上、卧龙泉和和尹家村等六处新石器时代至青铜时代遗址和墓葬的考古报 告, 这是"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","S1","遗迹编号",6,0.7,"- (31)  (34) (36)  (S1)  - (53) > (57)  工作"
"双砣子与岗上","REL_UNIT_TYPE","类型为","S1","遗迹编号","房址","遗迹类型",6,0.65," |  (二) WEF ILS  Le 房址 .ee 2. BR  (二) WORE"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M7","遗迹编号",11,0.7,"ase nears seeaes 岗上 M7 WE, BATTER] ceeeee "
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M19","遗迹编号",11,0.7," ees eee ens Be] LE M19 平面图pp By_EK M6, Mll"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M6","遗迹编号",11,0.7," LE M19 平面图pp By_EK M6, Mll, M4 °F, FA) TH"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M4","遗迹编号",11,0.7,"面图pp By_EK M6, Mll, M4 °F, FA) THT ER] cee"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M1","遗迹编号",11,0.7,"堆积剖面图:………P和PP oo 楼上 M1 平、剖面图 楼上 M9 平面图 楼上 "
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M9","遗迹编号",11,0.7,"P oo 楼上 M1 平、剖面图 楼上 M9 平面图 楼上 M6 1 楼上墓地出土陶"
"双砣子与岗上","REL_STRATIGRAPHY","层位关系","双砣子与岗上","遗址名称","堆积","层位关系",11,0.6,"eecnsaee ees 岗上墓地及遗址堆积剖面图 wee ese cee cee "
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","H12","遗迹编号",12,0.7,"址地层堆积前面图pp FREE HA, H12 Ee, PAT] pp FAK M3,"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M3","遗迹编号",12,0.7,"H12 Ee, PAT] pp FAK M3, M12, M8>7>F,  Hn  "
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M12","遗迹编号",12,0.7,"Ee, PAT] pp FAK M3, M12, M8>7>F,  Hn  Eee R"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M8","遗迹编号",12,0.7,"AT] pp FAK M3, M12, M8>7>F,  Hn  Eee RTT e"
"双砣子与岗上","REL_STRATIGRAPHY","层位关系","双砣子与岗上","遗址名称","堆积","层位关系",12,0.6,"八三 八四 八五 八六  尹家村遗址地层堆积前面图pp FREE HA, H12 E"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","M1","遗迹编号",14,0.7," el FE) es ht  将军山 (M1) 积石冢发据后情况 〈由南向北)  将"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","M1","遗迹编号","饰","ocr",14,0.6," el FE) es ht  将军山 (M1) 积石冢发据后情况 〈由南向北)  将 He oh t"
"双砣子与岗上","REL_UNIT_TYPE","类型为","M1","遗迹编号","墓葬","遗迹类型",14,0.65," Pj Eee 〈由西向东)  岗上墓地墓葬 〈由东癌西)  岗上墓地墓葬 〈由西向"
"双砣子与岗上","REL_UNIT_TYPE","类型为","M1","遗迹编号","房址","遗迹类型",14,0.65,"土遗物 岗上墓地封十出土陶片  岗上遗址房址 CFL) Ce ARTA ED 岗上遗"
"双砣子与岗上","REL_SITE_ERA","年代为","双砣子与岗上","遗址名称","新石器时代","年代",16,0.5,"从地层关系上上明确了以大连市 区为中心的新石器时代到青铜器时代的文化序列，澄清了过去的许多"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","F13","遗迹编号",19,0.7,"似的情况,如 Fl12 便打破并套筑在 F13 i. BPR, JLRS at BE "
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","T2","遗迹编号",19,0.7,"       Ul  <i YX  x T2     KK KK KX  gY  X"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","T4","遗迹编号",19,0.7,"x” “Lore  A- WE T2. T4 西壁剖面图  第一层, 表土及扰土层，"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","F13","遗迹编号","碗","ocr",19,0.6,"似的情况,如 Fl12 便打破并套筑在 F13 i. BPR, JLRS at BE  第二期文化”"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","F13","遗迹编号","饰","ocr",19,0.6,"似的情况,如 Fl12 便打破并套筑在 F13 i. BPR, JLRS at BE  较复杂。其中"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","T2","遗迹编号","碗","ocr",19,0.6,"       Ul  <i YX  x T2     KK KK KX  gY  X 第二期文化”和"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","T2","遗迹编号","饰","ocr",19,0.6,"       Ul  <i YX  x T2     KK KK KX  gY  X 较复杂。其中以"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","T4","遗迹编号","碗","ocr",19,0.6,"x” “Lore  A- WE T2. T4 西壁剖面图  第一层, 表土及扰土层， 第二期文化”和"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","T4","遗迹编号","饰","ocr",19,0.6,"x” “Lore  A- WE T2. T4 西壁剖面图  第一层, 表土及扰土层， 较复杂。其中以"
"双砣子与岗上","REL_MEASUREMENT","测量为","F13","遗迹编号"," 35 米","测量数据",19,0.55,"层，1A 层，耕土，厚 0. 15一0. 35 米; BE, tt 土，黄褐色, 厚 0."
"双砣子与岗上","REL_MEASUREMENT","测量为","F13","遗迹编号"," 5 米","测量数据",19,0.55,"tt 土，黄褐色, 厚 0. 25一0. 5 米，以上两层出土遗物都很少。1C 层, N"
"双砣子与岗上","REL_MEASUREMENT","测量为","F13","遗迹编号","0.7米","测量数据",19,0.55,", NRRL, Kia, 厚 0. 2一0.7米,出土陶片较多，内容比较复杂。其中以第三"
"双砣子与岗上","REL_MEASUREMENT","测量为","F13","遗迹编号","0.5 米","测量数据",19,0.55," 。 2B 层，灰褐土，厚 0. 15一0.5 米。两层出土遗物相同 ，陶器以细砂灰神陶为"
"双砣子与岗上","REL_MEASUREMENT","测量为","T2","遗迹编号"," 35 米","测量数据",19,0.55,"层，1A 层，耕土，厚 0. 15一0. 35 米; BE, tt 土，黄褐色, 厚 0."
"双砣子与岗上","REL_MEASUREMENT","测量为","T2","遗迹编号"," 5 米","测量数据",19,0.55,"tt 土，黄褐色, 厚 0. 25一0. 5 米，以上两层出土遗物都很少。1C 层, N"
"双砣子与岗上","REL_MEASUREMENT","测量为","T2","遗迹编号","0.7米","测量数据",19,0.55,", NRRL, Kia, 厚 0. 2一0.7米,出土陶片较多，内容比较复杂。其中以第三"
"双砣子与岗上","REL_MEASUREMENT","测量为","T2","遗迹编号","0.5 米","测量数据",19,0.55," 。 2B 层，灰褐土，厚 0. 15一0.5 米。两层出土遗物相同 ，陶器以细砂灰神陶为"
"双砣子与岗上","REL_MEASUREMENT","测量为","T4","遗迹编号"," 35 米","测量数据",19,0.55,"层，1A 层，耕土，厚 0. 15一0. 35 米; BE, tt 土，黄褐色, 厚 0."
"双砣子与岗上","REL_MEASUREMENT","测量为","T4","遗迹编号"," 5 米","测量数据",19,0.55,"tt 土，黄褐色, 厚 0. 25一0. 5 米，以上两层出土遗物都很少。1C 层, N"
"双砣子与岗上","REL_MEASUREMENT","测量为","T4","遗迹编号","0.7米","测量数据",19,0.55,", NRRL, Kia, 厚 0. 2一0.7米,出土陶片较多，内容比较复杂。其中以第三"
"双砣子与岗上","REL_MEASUREMENT","测量为","T4","遗迹编号","0.5 米","测量数据",19,0.55," 。 2B 层，灰褐土，厚 0. 15一0.5 米。两层出土遗物相同 ，陶器以细砂灰神陶为"
"双砣子与岗上","REL_STRATIGRAPHY","层位关系","双砣子与岗上","遗址名称","打破","层位关系",19,0.6,"类似的情况,如 Fl12 便打破并套筑在 F13 i. BPR, JLR"
"双砣子与岗上","REL_STRATIGRAPHY","层位关系","双砣子与岗上","遗址名称","堆积","层位关系",19,0.6,"在发据过程中，我们曾就土色的不同将文化层堆积分为十余层，经过整理，根据遗 迹和遗物的"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","F4","遗迹编号",20,0.7,"址都打破了 2A 层和2B层，而以F2、F4 AF? UFR a, 其中F2、F4 "
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","H3","遗迹编号",20,0.7,"? UFR a, 其中F2、F4 fl H3 均受到 IC BMRA Bk, EMS"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","T12","遗迹编号",20,0.7,"状石器等。  东坡两个探方 (TI11、T12) 的堆积情况，与南坡一、二、三层相当，"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","F14","遗迹编号",20,0.7,"子一期文化房址  在南坡共发现 3座 (F14、F15一16、F18一19)，均为双室"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","T9","遗迹编号",20,0.7,"版一，3)。  F15一16 12-F T9, 被压在Fl4的下面。两室东西并排，均"
"双砣子与岗上","REL_SITE_CONTAINS","包含","双砣子与岗上","遗址名称","F15","遗迹编号",20,0.7,"长 3.8，东西宽 1.7米; 西室 (F15) 南北长 3. 15、东西 宽 2米。"
"双砣子与岗上","REL_UNIT_EXCAVATES","出土","F4","遗迹编号","豆","ocr",20,0.6,"址都打破了 2A 层和2B层，而以F2、F4 AF? UFR a, 其中F2、F4  个缺口)，此外"
"吐鲁番考古记","REL_SITE_CONTAINS","包含","吐鲁番考古记","遗址名称","M4","遗迹编号",46,0.7,"IU SRERERH MORE RAN M4 | oho Me KeecateE” "
"吐鲁番考古记","REL_SITE_CONTAINS","包含","吐鲁番考古记","遗址名称","S80","遗迹编号",55,0.7,"OURS AR SEKI BEEN? (S80 148) SRST MER & ink"
"吐鲁番考古记","REL_SITE_CONTAINS","包含","吐鲁番考古记","遗址名称","H2","遗迹编号",59,0.7,"WIRENOBEREK SSR RKN H2 KRMBEN BHAI MEME   "
"吐鲁番考古记","REL_SITE_CONTAINS","包含","吐鲁番考古记","遗址名称","S3","遗迹编号",72,0.7,"             WY  ] £S3—8  "
"吐鲁番考古记","REL_SITE_CONTAINS","包含","吐鲁番考古记","遗址名称","S9","遗迹编号",73,0.7,"RRERENE EEREKTTSEN [S9° REESRWRRE FLEET! |"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",3,0.5,"8-4  LOm 1. Ore Ul @新石器时代文化一文化 遗址一发气报告一呼伦贝尔市 "
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",5,0.5,"存。哈克遗址是呼伦贝尔草原地区难得的一处新石器时代先民 及古代游牧民族的聚落遗址。该遗址对"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",6,0.5,"研究，并配合年代测定 等，确定险克遗址从新石器时代开始就是一处相对稳定并具有一定规模的聚落"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","旧石器时代","年代",6,0.5,"现了著名的扎责诺尔人头骨，它的时代应该在旧石器时代之未 和新石器时代之初。1962 年以来"
"哈克遗址","REL_STRATIGRAPHY","层位关系","哈克遗址","遗址名称","堆积","层位关系",6,0.6,"究，完成了考古报告专刊。首先，通过对文化堆积、文化遗迹和遗物的分析和研究，并配合年代"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",7,0.5,"8 年发据报告)  下，在呼伦贝尔已发现新石器时代细石器遗址 240 多处。特殊的地理环境"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","春秋","年代",7,0.5,"能见天日。从发现到正式发掘已过了二十多个春秋，令人欣慰的是哈 克和遗址的报告即将付梓"
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T2","遗迹编号",9,0.7," — $877 03,04, 08T1-T2 地层堆积 = IF 04TS 地层堆积"
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T6","遗迹编号",9,0.7,"地层堆积 四 探方04.07.08T5-T6 地层堆积 五”探方04T9 地层堆积 "
"哈克遗址","REL_UNIT_EXCAVATES","出土","T2","遗迹编号","环","ocr",9,0.6," — $877 03,04, 08T1-T2 地层堆积 = IF 04TS 地层堆积 言一  序言二"
"哈克遗址","REL_UNIT_EXCAVATES","出土","T6","遗迹编号","环","ocr",9,0.6,"地层堆积 四 探方04.07.08T5-T6 地层堆积 五”探方04T9 地层堆积  言一  序言二"
"哈克遗址","REL_STRATIGRAPHY","层位关系","哈克遗址","遗址名称","堆积","层位关系",9,0.6,"址第三地点 第三节 Ba 第三章 ”地层堆积与遗迹 第一节 “地层堆积… — $87"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",12,0.5,"- 文化分期 (一) BEAM ) 啥克新石器时代文化遗存发现的意义 + =) 伊敏河一海"
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T2","遗迹编号",13,0.7,"        aa)  探方04TI-T2 (9 KX 2.5K) HUTA TA"
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T6","遗迹编号",13,0.7,"米X4米) 地层痢面阁 探方 08T5-T6 扩方后 〈11 米X11 米) HE "
"哈克遗址","REL_UNIT_TYPE","类型为","T2","遗迹编号","房址","遗迹类型",13,0.65,"04T9 (4K 4 OR) A  - 房址 04.08T5-T6F1 平面、断面图"
"哈克遗址","REL_UNIT_TYPE","类型为","T2","遗迹编号","灰坑","遗迹类型",13,0.65,"8T5-T6F1 平面、断面图…  < 灰坑 03Ti-T2H2 平面、剖视疼  :"
"哈克遗址","REL_UNIT_TYPE","类型为","T6","遗迹编号","房址","遗迹类型",13,0.65,"04T9 (4K 4 OR) A  - 房址 04.08T5-T6F1 平面、断面图"
"哈克遗址","REL_UNIT_TYPE","类型为","T6","遗迹编号","灰坑","遗迹类型",13,0.65,"8T5-T6F1 平面、断面图…  < 灰坑 03Ti-T2H2 平面、剖视疼  :"
"哈克遗址","REL_MEASUREMENT","测量为","T2","遗迹编号","4米","测量数据",13,0.55,"UTA TATAL … 探方04T3 (4米X4 米) SHA PTATPA ~ 探"
"哈克遗址","REL_MEASUREMENT","测量为","T2","遗迹编号","4 米","测量数据",13,0.55," TATAL … 探方04T3 (4米X4 米) SHA PTATPA ~ 探方 04"
"哈克遗址","REL_MEASUREMENT","测量为","T2","遗迹编号","11 米","测量数据",13,0.55,"痢面阁 探方 08T5-T6 扩方后 〈11 米X11 米) HE IAL  《16) "
"哈克遗址","REL_MEASUREMENT","测量为","T6","遗迹编号","4米","测量数据",13,0.55,"UTA TATAL … 探方04T3 (4米X4 米) SHA PTATPA ~ 探"
"哈克遗址","REL_MEASUREMENT","测量为","T6","遗迹编号","4 米","测量数据",13,0.55," TATAL … 探方04T3 (4米X4 米) SHA PTATPA ~ 探方 04"
"哈克遗址","REL_MEASUREMENT","测量为","T6","遗迹编号","11 米","测量数据",13,0.55,"痢面阁 探方 08T5-T6 扩方后 〈11 米X11 米) HE IAL  《16) "
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T2","遗迹编号",16,0.7,"7) 第 5层出土赤铁矿石 (04T1-T2@):1507) 第 5 层出土小砾石 "
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","旧石器时代","年代",19,0.5,"者艰苦卓绝的努力，在这一地区发现了重要的旧石器时代晚期、中 石器时代和新石器时代文化遗存，"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",19,0.5,"现了重要的旧石器时代晚期、中 石器时代和新石器时代文化遗存，以及不同历史时期少数民族文化遗"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","红山","年代",19,0.5,"呼伦贝尔草原地区的早期文化，与东北地区的红山文化、中原地区的仰郁文化和 龙山文化同样"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","龙山文化","年代",19,0.5,"北地区的红山文化、中原地区的仰郁文化和 龙山文化同样重要，它们共同塑造了中华大地上的早期"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",20,0.5,"系，以及出土遗物的 分析，哈克遗址包括了新石器时代、汉代前后、隋唐及其之后的文化堆积。遗址"
"哈克遗址","REL_STRATIGRAPHY","层位关系","哈克遗址","遗址名称","堆积","层位关系",20,0.6,"新石器时代、汉代前后、隋唐及其之后的文化堆积。遗址地层保存完好，分布 面积大，文化内"
"哈克遗址","REL_STRATIGRAPHY","层位关系","哈克遗址","遗址名称","堆积","层位关系",23,0.6,"砂质沉 积物，在风力作用下，极易形成流沙堆积，在这个广赤的区域内，相对较薄的腐殖土下"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","旧石器时代","年代",24,0.5,"世纪 20 年代, 呼伦贝尔地区就发现过旧石器时代的遗存，当初一些考古学者到扎责诺尔进行 "
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","新石器时代","年代",24,0.5,"  近年的考古工作进一步确认了呼伦贝尔的新石器时代遗存。据报道，呼伦贝尔目前已发现 240"
"哈克遗址","REL_SITE_ERA","年代为","哈克遗址","遗址名称","北魏","年代",24,0.5,"贝尔地区的主要是室韦诸部。室韦之名始见于北魏，即《魏书。失韦传》. 北朝时，室韦人至"
"哈克遗址","REL_STRATIGRAPHY","层位关系","哈克遗址","遗址名称","堆积","层位关系",28,0.6,"在海拉尔河左岸由沙丘构成的第二级阶地内，堆积物由不同颜色的细 沙所组成，清理地层最厚"
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T5","遗迹编号",29,0.7,"开了 2004 年在哈克遗 址第一地点 T5-T6 发现的房址。由于当年时间紧，经费"
"哈克遗址","REL_SITE_CONTAINS","包含","哈克遗址","遗址名称","T6","遗迹编号",29,0.7,"2004 年在哈克遗 址第一地点 T5-T6 发现的房址。由于当年时间紧，经费缺乏，"
"哈克遗址","REL_UNIT_EXCAVATES","出土","T5","遗迹编号","环","ocr",29,0.6,"开了 2004 年在哈克遗 址第一地点 T5-T6 发现的房址。由于当年时间紧，经费 层进行细 致的"
"哈克遗址","REL_UNIT_EXCAVATES","出土","T6","遗迹编号","环","ocr",29,0.6,"2004 年在哈克遗 址第一地点 T5-T6 发现的房址。由于当年时间紧，经费缺乏， 层进行细 致的"
"哈克遗址","REL_UNIT_TYPE","类型为","T5","遗迹编号","房址","遗迹类型",29,0.65,"在哈克遗 址第一地点 T5-T6 发现的房址。由于当年时间紧，经费缺乏，扩方后仍未找"
