遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"临猗程村墓地","REL_UNIT_TYPE","类型为","M0026","遗迹编号","车马坑","遗迹类型",14,0.65,"捅图目录  图 145 车马坑 M0026、MI1009 和 M105"
"临猗程村墓地","REL_UNIT_TYPE","类型为","M1058","遗迹编号","车马坑","遗迹类型",14,0.65,"捅图目录  图 145 车马坑 M0026、MI1009 和 M105"
"临猗程村墓地","REL_UNIT_TYPE","类型为","M1076","遗迹编号","车马坑","遗迹类型",14,0.65,"捅图目录  图 145 车马坑 M0026、MI1009 和 M105"
"临猗程村墓地","REL_UNIT_TYPE","类型为","M1009","遗迹编号","车马坑","遗迹类型",14,0.65,"捅图目录  图 145 车马坑 M0026、MI1009 和 M105"
"临猗程村墓地","REL_SITE_CONTAINS","包含","临猗程村墓地","遗址名称","M1009","遗迹编号",16,0.7,", EEA 是环等 临儿程村墓地车马坑 M1009 临猿程村基地车马坑 M1009 临狂程"
"临猗程村墓地","REL_SITE_CONTAINS","包含","临猗程村墓地","遗址名称","M1058","遗迹编号",16,0.7," th, M1009 eH Be HL M1058 nea PRA Be ZT, M105"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","环","ocr",16,0.6,", EEA 是环等 临儿程村墓地车马坑 M1009 临猿程村基地车马坑 M1009 临狂程  Bh "
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","戈","ocr",16,0.6,", EEA 是环等 临儿程村墓地车马坑 M1009 临猿程村基地车马坑 M1009 临狂程 图版91"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","铜饰","ocr",16,0.6,", EEA 是环等 临儿程村墓地车马坑 M1009 临猿程村基地车马坑 M1009 临狂程 T  e"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","饰","ocr",16,0.6,", EEA 是环等 临儿程村墓地车马坑 M1009 临猿程村基地车马坑 M1009 临狂程 rea "
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1009","遗迹编号","骨管","ocr",16,0.6,", EEA 是环等 临儿程村墓地车马坑 M1009 临猿程村基地车马坑 M1009 临狂程   ar"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","环","ocr",16,0.6," th, M1009 eH Be HL M1058 nea PRA Be ZT, M105  Bh "
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","戈","ocr",16,0.6," th, M1009 eH Be HL M1058 nea PRA Be ZT, M105 图版91"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","铜饰","ocr",16,0.6," th, M1009 eH Be HL M1058 nea PRA Be ZT, M105 T  e"
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","饰","ocr",16,0.6," th, M1009 eH Be HL M1058 nea PRA Be ZT, M105 rea "
"临猗程村墓地","REL_UNIT_EXCAVATES","出土","M1058","遗迹编号","骨管","ocr",16,0.6," th, M1009 eH Be HL M1058 nea PRA Be ZT, M105   ar"
"京山屈家岭","REL_SITE_ERA","年代为","京山屈家岭","遗址名称","新石器时代","年代",4,0.5," ff 介  潮北京山县属家岭巡此是一处新石器时代遗存。 1954 年冬发现后, 1955"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T1197","遗迹编号",12,0.7,"; PARSE, 23). 探方编号自 T1197, 由北而南 顺次序烈，其中大多数均为2"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T5","遗迹编号",12,0.7,"次序烈，其中大多数均为2 x 2米，仅 T5、178、196、197 为2 X 10"
"京山屈家岭","REL_UNIT_EXCAVATES","出土","T1197","遗迹编号","环","ocr",12,0.6,"; PARSE, 23). 探方编号自 T1197, 由北而南 顺次序烈，其中大多数均为2 一; P"
"京山屈家岭","REL_UNIT_EXCAVATES","出土","T5","遗迹编号","环","ocr",12,0.6,"次序烈，其中大多数均为2 x 2米，仅 T5、178、196、197 为2 X 10 一; PARR"
"京山屈家岭","REL_SITE_ERA","年代为","京山屈家岭","遗址名称","新石器时代","年代",12,0.5,"hilly  屈家岭新石器时代遣址, oF iA ATR LL eR "
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号"," 300 米","测量数据",12,0.55,"环境与鄂西和鄂东的遗址不大相同,是在海拔 300 米以下的山区中。东、 南北三面是海拔 40"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号","50 米","测量数据",12,0.55,"下的山区中。东、 南北三面是海拔 40一50 米的或聚或散的小丘陵,西南地势较平坦,青木"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号"," 750 米","测量数据",12,0.55,"自遗址的北部环绕而南, 到届家岭村西南约 750 米汇合。 两 河之间的地形作则圆形,东 ,"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号","51 米","测量数据",12,0.55,"550, BY 1930, 海拔 43一51 米的不规则的栅圆形岗地。在这岗地上,发现有"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号"," 10 米","测量数据",12,0.55,"届家岭村的西部渠道经过的地方开了 2 X 10 米的探沟|       初步了 解到它的文"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号"," 70 米","测量数据",12,0.55,"前后历时八个月。发掘地点在屈家 擒村北面 70 米的渠道两旁,序椭圆形岗地的西南面与平坦地"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号"," 2米","测量数据",12,0.55,"由北而南 顺次序烈，其中大多数均为2 x 2米，仅 T5、178、196、197 为2"
"京山屈家岭","REL_MEASUREMENT","测量为","T1197","遗迹编号"," 8米","测量数据",12,0.55,"、196、197 为2 X 10或2 x 8米(图 二)。  本报告的资料,全部为第二"
